S001,There is a man wearing a hat sitting under a TV mounted on a wall.
S002,There are a table with two cakes and champagne glasses and two women serving cake.
S003,There is a stoplight with images drawn on each of the lights.
S004,Some people are standing in the middle of the street lined with motorcycles.
S005,There are series of curved forms around the body.
S006,There is a table set for a dinner of pizza.
S007,There is a red fire hydrant with a chain on a cement sidewalk.
S008,Some people are boarding a parked double decker bus on a busy street.
S009,Andrei looked at Danny moving a yellow chair.
S010,This is a green court.
S011,A young man is looking into the inside of a refrigerator through bottles.
S012,A jockey is racing on a horse in the rain.
S013,The characters are chinese.
S014,A man in blue shirt is sitting on a pile of luggage.
S015,There is a small kitchenette opening up to another room.
S016,The toy train set is set up and being photographed.
S017,Danny put down the bag and the chair it is yellow.
S018,A woman reaching to hit a tennis ball with a racquet.
S019,A pregnant woman is writing on her stomach holding a yellow teddy bear.
S020,This is a blue wall beside a tennis court.
S021,This is the second car in the train.
S022,This is some type of a fair.
S023,A man in a colorful umbrella hat holds an orange.
S024,There is a plate that has food sitting on a table.
S025,A group of police officers is standing in front of a parade.
S026,A woman is pointing a Wii remote right at the camera.
S027,There is a bar with neon lights behind the bottles.
S028,A couple of wood signs are pointing in different directions.
S029,A jogging couple is resting on benches at the pier across the city view.
S030,The traffic lights stand out a lot.
S031,A person in a blue ski suit is racing two girls on skis.
S032,A person in her blue ski suit is racing two girls on skis.
S033,A girl in a dress is leaning back on a cow wearing a straw hat.
S034,Some friends are hand shaking in the baseball stadium.
S035,A metal artwork displays a clock in the middle of a floor.
S036,Eight movers are helping someone move into their new home.
S037,Person airborne over a skateboard as the sun is setting.
S038,A group of military people is running towards a school bus.
S039,A surfer is catching a wave on the ocean.
S040,A motorcycle racer on a track is leaning into a curve.
S041,A hand is holding a hotdog with ketchup mustard and onions wrapped in foil.
S042,A picture of a recently married couple is displayed behind glass.
S043,A man is moving an oven using a dolly.
S044,A very attractive young woman is turning on the water in the shower.
S045,There is a clock on a building with people painted around it.
S046,A small compact car is driving past a furniture store.
S047,This is a wooden bowl of bananas that someone has drawn faces on.
S048,A bunch of buses are driving along a road with cars.
S049,There is a couple of people with bags standing on a escalator.
S050,There is a banana on the stand.
S051,There is a public transit bus on a city street covered in snow.
S052,This is the second highest rail of the jump.
S053,A man gestures over a microwave as he leans on a chair.
S054,An old lady wrapped in a blanket is eating food.
S055,A man is paddle boarding on a city river.
S056,A boat is pulling a water boarder along on a lake.
S057,Several people in soccer uniforms running around with people and stands on the sidelines.
S058,A helmeted man is mounting his well maintained motor cycle.
S059,A person is putting dough into an oven with a spatula.
S060,People are reaching into a broccoli garden and picking broccoli.
S061,A couple of women are walking down a street under a pink umbrella.
S062,Two uniformed people are serving food to guests.
S063,A very crowded street sign is pointing to attractions in multiple directions.
S064,The girl is stretching to reach the tennis ball with her racket.
S065,There is a knife set in a wooden block.
S066,A dog gets its teeth brushed by a man.
S067,The stand is stable.
S068,Two women and four men are playing with a white frisbee.
S069,Two boys are speaking in a classroom with desks and chairs.
S070,There is snow on the trees at a cross country ski race.
S071,There is a line of double decker buses with a clock tower in the background.
S072,A man is putting a coffee cup in a microwave.
S073,This man is putting coins in a meter.
S074,People are putting candles on a cake that is sitting on a plate.
S075,A young man stands pointing in the picture.
S076,A snow skier is putting on skis in the snow near a building.
S077,There are three different cellphone models.
S078,A man is driving a boat along the river.
S079,A man falls while trying to catch a wave surfing.
S080,A man is blowing into a plastic ball.
S081,Danny looked at Andrei putting down a green chair.
S082,A bus waits for a person to board it on the street.
S083,A man is swinging at a baseball with an umpire behind him.
S084,Many motorcycles are lined up to be displayed.
S085,Andrei looked at Danny picking up a green bag.
S086,A man is turning his back on his own reflection in a mirror.
S087,There is a food truck serving calamari sandwiched between other food trucks.
S088,This is a red tie with Peanuts characters.
S089,A skier is passing two people on a snowmobile.
S090,This is a black bike seat with silver springs.
S091,A smiling man sits on a scooter with a little girl.
S092,The little girl is reaching for a piece of cake.
S093,A tennis player runs in order to hit the ball.
S094,A street light has broken in half on someone s lawn.
S095,Danny left Andrei he held a telescope.
S096,A girl and a woman are sharing an appetizer on the outdoor patio of a beachside restaurant.
S097,A person is pouring cake batter into a pan with a utensil.
S098,A shop displays different color parasols on a wall.
S099,There is a plate of food that includes a salad and a pastry with fruit and cream.
S100,A woman points a hair drier like it is a gun.
S101,Two cars are driving down a street next to a green bus.
S102,A small boy is leaning over a fence to see several lambs.
S103,The door of a second bus is open.
S104,A woman has her picture taken as if she is opening the door to a cabin that has bears outside it.
S105,A boy and a girl at a table are drawing with oil pastels.
S106,A fire hydrant has been painted like an american flag.
S107,A cameraperson is pointing a camera and mic at a speaker.
S108,A woman is pointing at the camera while lying down.
S109,Cars are driving by a gas station with a big sign.
S110,A person is looking down at his own shoes and the top of a dog s head.
S111,There is a man covering his eyes from sun on a motorcycle.
