Sentence_ID,Original,Congruency,Choice,Translate,Update
S102,A small boy is leaning over a fence to see several lambs.,U-R,same,Malý hoch se dívá přes horizont na několik ovcí.,"Malý hoch se dívá přes horizont, aby viděl několik ovcí."
S092,The little girl is reaching for a piece of cake.,U-U,same,Malá dívka dosahuje kousku koláče.,Malá dívka dosahuje kousku koláče.
S091,A smiling man sits on a scooter with a little girl.,A-U,same,Smějící se muž sedící na skútru s malou dívkou.,Smějící se muž sedící na skútru s malou dívkou.
S110,A person is looking down at his own shoes and the top of a dog s head.,U-U,same,Člověk se dívá dolů na své vlastní boty a vrch hlavy psa.,Člověk se dívá dolů na své vlastní boty a vrch hlavy psa.
S097,A person is pouring cake batter into a pan with a utensil.,A-U,same,Člověk cukruje dort/koláč na pánvi cukřenkou.,Člověk cukrující koláč na pánvi cukřenkou.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Člověk v její modré lyžařském úboru závodí se dvěma dívkami na lyžích.,Člověk v jejím modrém lyžařském úboru závodí s dvěma dívkami na lyžích.
S085,Andrei looked at Danny picking up a green bag.,A-U,same,"Andrej se dívá na Denyho, který zvedá zelenou tašku.","Andrej se dívá na Danyho, který zvedá zelenou tašku."
S108,A woman is pointing at the camera while lying down.,U-R,changed,"Žena ukazuje na fotoaparát, když leží.",Žena ležící ukazuje na kameru.
S087,There is a food truck serving calamari sandwiched between other food trucks.,A-N,same,"Tady je jídelní vůz, který servíruje kalamáří sendviče mezi dalšími jídelními vozy.","Tady je jídelní vůz, který servíruje kalamáří sendviče mezi dalšími jídelními vozy."
S112,A city bus is driving down a crowded city street.,U-N,same,Městský autobus jedoucí zaplněným/zaplněnými ulicemi města.,Městský autobus jedoucí přeplněnými ulicemi města.
S090,This is a black bike seat with silver springs.,U-R,same,Tohle je černé sedátko na kole se stříbrnými paprsky.,Tohle je černé sedátko kola se stříbrnými paprsky.
S083,A man is swinging at a baseball with an umpire behind him.,A-R,same,Muž švihající na baseballu s rozhodčím za ním.,Muž švihající na baseballu s rozhodčím za ním.
S098,A shop displays different color parasols on a wall.,U-U,same,Obchod ukazuje různé barevné spreje na stěnu.,Obchod ukazuje různé barevné spreje na stěnu.
S094,A street light has broken in half on someone s lawn.,U-N,same,Městské světlo se zlomilo vejpůl na něčí majetek.,Městské světlo se zlomilo vpůli na něčí majetek.
S084,Many motorcycles are lined up to be displayed.,U-R,same,Mnoho motorek je seřazeno na ukázku.,Mnoho motorek je seřazeno na ukázku.
S105,A boy and a girl at a table are drawing with oil pastels.,A-N,same,Chlapec a děvče malující si na stole olejovými pastelkami.,Chlapec a děvče kreslící si na stole olejovými pastelkami.
S109,Cars are driving by a gas station with a big sign.,A-U,same,Auta jezdí okolo čerpací stanice s velkým nápisem.,Auta jezdící okolo čerpací stanice s velkým nápisem.
S107,A cameraperson is pointing a camera and mic at a speaker.,A-R,changed,Kameraman ukazuje na kameru a mikrofon na mluvítku.,Kameraman ukazuje kamerou a mikrofonem na mluvčího.
S101,Two cars are driving down a street next to a green bus.,A-R,same,Dvě auta jedou ulicí vedle zeleného autobusu.,Dvě auta jedou ulicí vedle zeleného autobusu.
S099,There is a plate of food that includes a salad and a pastry with fruit and cream.,A-N,changed,"Tady je talíř jídla, který obsahuje salát a směs se ovocem a zmrzlinou.","Tady je talíř jídla, který obsahuje salát a směs ovoce se smetanou."
S095,Danny left Andrei he held a telescope.,A-R,same,"Deny opustil Andreje, uchopil teleskop.","Deny opustil Andreje, zvedl teleskop."
S089,A skier is passing two people on a snowmobile.,A-R,same,Lyžař míjí dva lidi na sněžném skútru.,Lyžař míjí dva lidi na sněhovém skútru.
S104,A woman has her picture taken as if she is opening the door to a cabin that has bears outside it.,U-U,changed,"Když otvírá dveře od kabiny, žena fotí obrázek medvěda před ní.",Žena otvírající dveře kabiny fotí obrázek medvěda před kabinou.
S106,A fire hydrant has been painted like an american flag.,U-N,same,Hasičský hydrant je namalován jako americká vlajka.,Hasičský hydrant je namalován jako americká vlajka.
S100,A woman points a hair drier like it is a gun.,U-N,same,Žena drží fén jako zbraň.,Žena drží fén jako by to byla zbraň.
S096,A girl and a woman are sharing an appetizer on the outdoor patio of a beachside restaurant.,U-R,changed,Dívka a žena se dělí o předkrm venku na zahradní restauraci.,Dívka a žena se dělí o předkrm na zahrádce zahradní restaurace.
S111,There is a man covering his eyes from sun on a motorcycle.,A-N,same,Tady je muž zakrývající si oči před sluncem na motorce.,Tady je muž zakrývající si oči před sluncem na motorce.
S093,A tennis player runs in order to hit the ball.,A-N,changed,"Tenisový hráč běží, aby odstřelil míč.","Tenisový hráč běží, aby odrazil míč."
S088,This is a red tie with Peanuts characters.,U-N,same,Tohle je červená kravata s burákovými postavičkami.,Tohle je červená kravata s arašídovými postavičkami.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Člověk v modré lyžařském obleku závodí s dvěma dívkami na lyžích.,Člověk v modrém lyžařském úboru závodící se dvěma dívkami na lyžích.
S103,The door of a second bus is open.,A-U,same,Dveře druhého autobusu jsou otevřené.,Dveře druhého autobusu jsou otevřené.
S086,A man is turning his back on his own reflection in a mirror.,U-U,changed,Muž se otáčí zády pro jeho vlastní reflexi v zrcadle.,Muž se otáčí zády na svůj vlastní odraz v zrcadle.
