Sentence_ID,Original,Congruency,Choice,Translate,Update
S048,A bunch of buses are driving along a road with cars.,U-R,not indicated,Několik houf autobusů jede podél silnice s- kde je plno aut.,Skupina autobusů jede podél silnice s auty.
S079,A man falls while trying to catch a wave surfing.,A-N,same,"Upadá, zatímco se chystá chytnout správnou vlnu při surfování.","Upadá, zatímco se chystá chytnout správnou vlnu při surfování."
S050,There is a banana on the stand.,U-U,same,Na stánku je banán.,Na stánku je banán.
S051,There is a public transit bus on a city street covered in snow.,A-N,not indicated,"Tranzitní autobus je na na městské ulici, která je pokryta sněhem.","Městský tranzitní autobus stojí na městské ulici, která je pokryta sněhem."
S077,There are three different cellphone models.,A-U,same,Existují tři různé modely mobilního telefonu.,Existují tři růžné modely mobilního telefonu.
S047,This is a wooden bowl of bananas that someone has drawn faces on.,A-R,changed,"Toto je dřevěná miska s banány, kterou si někdo namazal na obličeje.","Toto je dřevěná miska s banány, na které někdo namaloval obličeje."
S073,This man is putting coins in a meter.,A-N,same,Tento muž vkládá mince do měřiče.,Muž vkládá mince do měřiče.
S045,There is a clock on a building with people painted around it.,A-N,changed,Na budově jsou hodiny a s- okolo toho jsou lidi kteří namalují obrazy.,Na budově jsou jsou hodiny s namalovaný lidmi okolo nich.
S081,Danny looked at Andrei putting down a green chair.,A-R,same,"Dany se podívá na Andreje, který který shazoval dolů zelenou židli.","Dany se podívá na Andreje, který shazoval zelenou židli."
S052,This is the second highest rail of the jump.,U-N,same,Toto je druhá nejvyšší železnice této skupiny.,Toto je druhá nejvyšší železnice skupiny.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,changed,Osoba v modrém lyžařském obleku prohání dvě dívky na lyžích.,Osoba v modrém lyžařském obleku závodí s dvěma dívkami na lyžích.
S066,A dog gets its teeth brushed by a man.,U-U,same,Zuby psa jsou čištěny mužem.,Zuby psa jsou čištěny mužem.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modrém lyžařském obleku závodí s dvěma dívkami na lyžích.,<no translation recorded>
S080,A man is blowing into a plastic ball.,U-N,same,Muž fouká do plastického balónku.,Muž fouká do plastického balónku.
S046,A small compact car is driving past a furniture store.,U-N,same,<no translation recorded>,Malé dodávkové auto jede okolo obchodu s nábytkem.
S078,A man is driving a boat along the river.,U-U,changed,Muž řídí loď podél řeky.,Muž řídí loď na řece.
S075,A young man stands pointing in the picture.,A-R,same,Mladý muž stojí a ukazuje na obrázek.,Mladý muž stojí a ukazuje na obrázek.
S067,The stand is stable.,A-N,same,Je to stálý stav.,Je to stálý stav.
S063,A very crowded street sign is pointing to attractions in multiple directions.,A-R,same,"Pouliční nápis, který je velmi navštěvován lidmi, ukazuje na atrakce v mnoha směrech.","Velmi pouliční nápis, který je velmi navštěvován mnoha lidmi ukazuje na atrakce v mnoha směrech."
S074,People are putting candles on a cake that is sitting on a plate.,U-N,changed,"Lidé vkládají svíčky do dortu, který se nachází na talíři.","Lidé dávají svíčky do na dort, který je na talíři."
S044,A very attractive young woman is turning on the water in the shower.,U-U,same,Velmi atraktivní mladá žena zapíná vodu ve sprše.,Velmi atraktivní mladá žena zapíná vodu ve sprše.
S065,There is a knife set in a wooden block.,A-U,same,Je zde sada nožů na dřevěném podstavci.,Je zde dřevěná sada sada nožů v dřevě-
S069,Two boys are speaking in a classroom with desks and chairs.,A-R,changed,Dva chlapci hovoří v učebně se stoly a židlemi.,"Dva chlapci hovoří v učebně, kde jsou židle a stoly."
S068,Two women and four men are playing with a white frisbee.,U-N,changed,Dvě ženy a čtyři muži si hrají s bílým talířem.,Dvě ženy a čtyři muži si hrají s bílým létajícím talířem.
S082,A bus waits for a person to board it on the street.,U-R,changed,"Autobus čeká na osobu, aby do něj nastoupila přímo v na ulici.","Autobus čeká na osobu, aby do něj nastoupila na ulici."
S071,There is a line of double decker buses with a clock tower in the background.,A-U,changed,Nachází se zde ulička nebo řada dvouposchoďových autobusů s nástěnnými věží s hodinami na pozadí.,Nachází se zde řada dvouposchoďových autobusů věží s hodinami a na pozadí.
S049,There is a couple of people with bags standing on a escalator.,A-U,same,"Je zde několik lidí s zavazadly, a kteří stojí ve výtahu.","Je zde několik lidí se zavazadly, kteří stojí ve výtahu."
S072,A man is putting a coffee cup in a microwave.,U-U,not indicated,Muž dává šálek s kávou do mikrovlnky.,Muž pokládá šálek s kávou do mikrovlnky.
S070,There is snow on the trees at a cross country ski race.,U-R,changed,Během běžkařského závodu je jsou stromy pokryté sněhem.,<no translation recorded>
S043,A man is moving an oven using a dolly.,A-U,same,Muž přemisťuje troubu pomocí nástroje.,Muž přemisťuje troubu pomocí nástroje.
S064,The girl is stretching to reach the tennis ball with her racket.,U-R,same,"Žena se protáhne, aby dosáhla na tenisový míček se svojí raketou.",Žena se natahuje po tenisovém míči se svojí raketou.
S076,A snow skier is putting on skis in the snow near a building.,U-R,changed,"Lyžař si zavazuje lyže do sněhu, která je poblíž budovy.",Lyžař si zavazuje lyže poblíž na sníh poblíž budovy.
