Sentence_ID,Original,Congruency,Choice,Translate,Update
S182,There is a press box on the tennis court.,A-R,same,Na tenisovém kurtu je krabice.,Na tenisovém kurtu je krabice.
S200,There is a date stamp of March 16th 2008.,U-R,same,Je tam razítko s datumem šestnáctého března 2008.,Je tam razítko s datumem šestnáctého března 2008.
S192,A television is turned on on a wooden shelf.,U-N,same,Na dřevěné poličce je zapnutá televize.,Na dřevěné poličce je zapnutá televize.
S129,Two women are kissing a man for a photograph.,A-U,same,Dvě ženy dávají polibek muži a přitom se fotí.,Dvě ženy dávají polibek muži a přitom se fotí.
S185,Cars line up to coin meters on at a busy sidewalk.,U-U,same,Auta se řadí těsně za sebou na rušném chodníku.,Auta se řadí těsně za sebou na rušném chodníku.
S188,A small boy reaches up into the kitchen sink.,U-R,same,Malý kluk se natahuje do kuchyňského dřezu.,Malý kluk se natahuje do kuchyňského dřezu.
S186,Water passing under a bridge that cars are driving on top of.,A-N,same,"Pod mostem, na kterým jezdí auta, teče voda.","Pod mostem, na kterým jezdí auta, teče voda."
S130,There are silver springs on the side of a bike.,U-U,same,Na boku kola jsou stříbrné pružiny.,Na boku kola jsou stříbrné pružiny.
S196,There is an older person passing out plates of food to young people.,U-U,same,Starší člověk podává mladým lidem talíře s jídlem.,Starší člověk podává mladým lidem talíře s jídlem.
S195,There are red cushions against a window in front of table with a table light and a bench.,A-U,changed,"Proti oknu, které je před stolem, na kterém je světlo a lavička, jsou opřené červené polštáře.","Za stolem, na kterém je světlo, je lavička s červenými polštáři, které jsou opřeny o okno."
S126,The people move about and congregate in the public area next to the large white tent.,U-N,same,Lidé se pohybují a shlukují se ve- prostoru pro veřejnost vedle velkého bílého stanu.,Lidé se pohybují a shlukují se v prostoru pro veřejnost vedle velkého bílého stanu.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,changed,Osoba oblečená v modrém závodí se dvěma dívkami na lyžích.,Osoba oblečená v modrém závodí se dvěma dívkami na běžkách.
S189,Danny left the chair with a blue telescope.,A-U,same,Deny vstal ze židle s modrým dalekohledem.,Deny vstal ze židle s modrým dalekohledem.
S190,A young boy in the bed is reading a book to his little sibling.,U-U,same,Chlapec v posteli předčítá knížku svému mladšímu sourozenci.,Chlapec v posteli předčítá knížku svému mladšímu sourozenci.
S184,There is a stand with information.,A-U,same,Je tu stojan s informacemi.,Je tu stojan s informacemi.
S193,Danny looked at Andrei putting down a yellow chair.,A-R,same,"Deny se díval, jak Andrej spustil dolů žlutou židli.","Deny se díval, jak Andrej spustil dolů žlutou židli."
S124,A young woman is holding a freshly pulled carrot up in the air.,U-U,same,"Mladá žena drží ve vzduchu mrkev, kterou zrovna vyndala ze země.","Mladá žena drží ve vzduchu mrkev, kterou zrovna vyndala ze země."
S198,A baseball player runs to catch a ball that has been pitched.,U-N,same,"Hráč baseballu utíká, aby chytil míč, který letí daleko.","Hráč baseballu utíká, aby chytil míč, který letí daleko."
S031,A person in a blue ski suit is racing two girls on skis.,A-X,changed,Osoba oblečená v modrém závodí na lyžích se dvěma dívkami.,Osoba oblečená v modrém závodí na běžkách se dvěma dívkami.
S125,A man is pushing a wheelchair on the street.,A-N,same,Muž po ulici tlačí vozíček.,Muž po ulici tlačí vozíček.
S123,Some cows are painted with pink and purple dots.,A-U,same,Některé krávy na sobě mají namalované růžové a fialové puntíky.,Některé krávy na sobě mají namalované růžové a fialové puntíky.
S194,A man inside a room is putting together a white kite.,U-R,same,Muž skládá bílého draka v pokoji.,Muž skládá bílého draka v pokoji.
S131,There is a professional speaker on the stage pointing out his coworker.,A-N,same,"Na pódiu je profesionální mluvčí, který poukazuje na svého kolegu.","Na pódiu je profesionální mluvčí, který poukazuje na svého kolegu."
S079,A man falls while trying to catch a wave surfing.,A-R,same,"Muž spadnul z prkna, když se pokoušel při surfování chytit vlnu.","Muž spadl z prkna, když se při surfování pokusil chytit vlnu."
S128,A man is writing something down while on a cell phone.,U-R,same,Při telefonování si muž něco zapisuje.,Při telefonování si muž něco zapisuje.
S197,A TV is showing two men in hats and women.,A-N,same,V televizi jsou dva muži s klobouky a ženy.,V televizi jsou dva muži s klobouky a ženy.
S187,A man leans back and gets ready to fall during part of the game.,U-N,same,Během hry se muž zakloní a je připraven spadnout.,Během hry se muž zakloní a je připraven spadnout.
S183,A man is reading a book while another is holding a dog.,U-R,same,"Jeden muž si čte knihu, zatímco jiný drží psa.","Jeden muž si čte knihu, zatímco druhý drží psa."
S199,A man and his skateboard have been caught mid flight during a leap.,A-R,changed,Při skoku byl zachycen muž a jeho skateboard.,Při skoku byl vyfocen muž a jeho skateboard.
S132,A man and a woman are showing off their food.,U-N,same,Muž a žena předvádějí své jídlo.,Muž a žena předvádějí své jídlo.
S127,Andrei and Danny picked up a yellow bag.,A-R,same,Andrej a Deny zvedli žlutou tašku.,Andrej a Deny zvedli žlutou tašku.
S191,A man and his dog walk to the sink of a kitchen cluttered with objects.,A-N,same,"Muž a jeho pes procházejí kuchyní, ve které je spoustu věcí, ke dřezu.","Muž a jeho pes procházejí kuchyní, ve které je spoustu věcí, ke dřezu."
