Sentence_ID,Original,Congruency,Choice,Translate,Update
S090,This is a black bike seat with silver springs.,U-N,same,Toto je černé sedadlo na kole se stříbrnými proužky.,Toto je černé sedadlo na kole se stříbrnými proužky.
S093,A tennis player runs in order to hit the ball.,A-U,same,Hráč tenisu běží aby odehrál míček.,Hráč tenisu běží aby odehrál míček.
S096,A girl and a woman are sharing an appetizer on the outdoor patio of a beachside restaurant.,U-N,same,Dívka a žena sdílejí jídlo na venkovním pátiu restaurace na pláži.,Dívka a žena sdílejí jídlo na venkovním pátiu v restauraci.
S095,Danny left Andrei he held a telescope.,A-N,same,"Denny opustil Andreje, držel teleskop.","Denny opustil Andreje, držel teleskop."
S089,A skier is passing two people on a snowmobile.,A-N,same,Lyžař projíždí kolem dvou lidí na skůtrech.,Lyžař projíždí kolem dvou lidí na skůtrech.
S153,Two people are walking along the water with umbrellas.,A-R,same,2 lidi jdou kolem vody s deštníky.,2 lidi jdou kolem vody s deštníky.
S099,There is a plate of food that includes a salad and a pastry with fruit and cream.,A-U,same,"Je tu talíř s jídlem, který zahrnuje salát, ovoce a smetanu.","Je tu talíř s jídlem, který zahrnuje salát, ovoce a smetanu."
S157,A man is climbing an elephant with a saddle attached.,A-N,same,Muž leze na slona to nevím co znamená.,Muž leze na slona s něčím.
S098,A shop displays different color parasols on a wall.,U-R,changed,Obchod ukazuje různé barvy na stěnách.,Obchod ukazuje různě barevné deštníky na stěnách.
S102,A small boy is leaning over a fence to see several lambs.,U-N,same,Malý kluk se naklání přes plot aby viděl různé zvířata.,Malý kluk se naklání přes plot aby viděl různá zvířata.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modrém oblečení na lyže závodí s dvěmi dívkami na lyžích.,Osoba v modrém lyžařském oblečku závodí s dvěmi dívkami na lyžích.
S094,A street light has broken in half on someone s lawn.,U-U,same,Pouliční světlo se rozbilo v půli něčí procházky.,Pouliční světlo se rozbilo v půli něčí procházky.
S092,The little girl is reaching for a piece of cake.,U-R,same,Malá dívka se natahuje pro kus dortu.,Malá holka se natahuje pro kousek dortu.
S085,Andrei looked at Danny picking up a green bag.,A-R,same,Andrej se podíval na Dannyho když zvedal zelenou tašku.,Andrej se podíval na Dannyho když zvedal zelenou tašku.
S160,A baby elephant is reaching for grey bag at a zoo.,U-R,same,Slůně se natahuje pro šedivou tašku v zoo.,Slůně se natahuje pro šedivou tašku v zoo.
S088,This is a red tie with Peanuts characters.,U-U,same,Tohle je červená kravata s oříškovými postavičkami.,Tohle je červená kravata s oříškovými postavičkami.
S158,There are cars moving at a very fast speed.,U-N,same,Auta se pohybují za velmi vysoké rychlosti.,Auta se pohybují za velmi vysoké rychlosti.
S100,A woman points a hair drier like it is a gun.,U-U,same,Žena drží vysoušeč vlasů jakoby to byla zbraň.,Žena drží vysoušeč vlasů jakoby to byla zbraň.
S159,A red train is passing over the water on a bridge.,A-R,same,Červený vlak přejíždí vodu na mostě.,Červený vlak přejíždí vodu na mostě.
S086,A man is turning his back on his own reflection in a mirror.,U-R,same,Muž se obrací zády ke svému vlastnímu odrazu v zrcadle.,Muž se otáčí zády ke svému vlastnímu odrazu v zrcadle.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Osoba v modré lyžařské uniformě závodí s dvěmi holkami na lyžích.,Osoba v modré lyžařském obleku závodí s dvěma holkami na lyžích.
S154,A red metal frame forms the half pipe.,U-R,same,Červený kovový rám tvoří trubku.,Červený kovový rám tvoří trubku.
S087,There is a food truck serving calamari sandwiched between other food trucks.,A-U,same,Auto servíruje sendvič s kalamárami mezi ostatními auty.,Auto servíruje sendvič s kalamárami mezi ostatními auty.
S161,There are two leather sofas sitting on each side of an entertainment center.,A-U,same,2 kožené pohovky jsou na každé straně zábavného centra.,2 kožené pohovky jsou na každé straně zábavného centra.
S162,People in hats are riding on a large elephant.,U-U,same,Lidé v čepicích jedou na velkém slonovi.,Lidé v čepicích jedou na velkém slonovi.
S155,There are foreign characters on the vehicle s side.,A-U,same,Jsou tu cizí postavičky na straně vozidla.,Jsou tu cizí postavičky na straně vozidla.
S097,A person is pouring cake batter into a pan with a utensil.,A-R,same,Osoba nalévá dortové máslo do pánve.,Osoba nalévá dortové máslo do pánve.
S083,A man is swinging at a baseball with an umpire behind him.,A-N,same,Člověk se pohybuje na baseballe s hledištěm za ním.,Muž se pohybuje na baseballe s hledištěm za ním.
S091,A smiling man sits on a scooter with a little girl.,A-R,same,Usmívající se muž sedí na koloběžce s malou holkou.,Usmívající se muž sedí na koloběžce s malou holkou.
S156,A crowd of people stands and watches as guy on a horseback leads a bunch of horses behind him.,U-U,same,Skupina lidí stojí a pozoruje muže na koni vedoucího další koně za ním.,Skupina lidí stojí a pozoruje muže na koni vedoucího další koně za ním.
S084,Many motorcycles are lined up to be displayed.,U-N,same,Hodně motorek je seřazeno aby byly puštěny.,Hodně motorek je seřazeno aby byly puštěny.
S101,Two cars are driving down a street next to a green bus.,A-N,same,2 auta jedou po ulici vedle zeleného autobusu.,2 auta jedou po ulici vedle zeleného autobusu.
