Sentence_ID,Original,Congruency,Choice,Translate,Update
S005,There are series of curved forms around the body.,A-R,changed,Tady je několik tvarů kolem těla.,Tady vidíme několik tvarů na těle.
S004,Some people are standing in the middle of the street lined with motorcycles.,U-N,same,Uprostřed silnice stojí několik lidí a na krajích je několik motocyklů.,Uprostřed silnice stojí několik lidí a na krajích jsou motorky.
S003,There is a stoplight with images drawn on each of the lights.,A-N,same,Tady je semafor s obrázkami na každé barvě.,Tady je semafor na na každé barvě je obrázek.
S057,Several people in soccer uniforms running around with people and stands on the sidelines.,A-U,changed,Několik lidí v uniformách běží kolem lidí a stojí na stranách.,Několik lidí v uniformách běží kolem lidí a které stojí na stranách.
S054,An old lady wrapped in a blanket is eating food.,U-N,same,Žena zabalená v dece jí.,Žena zabalená do deky jí.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Muž v modrém lyžařském obleku jede za dvěmi holkami na lyžích.,Muž v modrém lyžařském obleku jede za dvěmi holkami na lyžích.
S058,A helmeted man is mounting his well maintained motor cycle.,U-U,changed,Muž v helmě vypnul motor motocyklu.,Muž v helmě lyžuje.
S049,There is a couple of people with bags standing on a escalator.,A-R,changed,Na jezdících schodech stojí několik lidí s taškami.,Na jezdících schodech je několik mužů s kufry.
S055,A man is paddle boarding on a city river.,A-R,same,Muž pádluje po řece ve městě.,Muž pádluje po řece ve městě.
S053,A man gestures over a microwave as he leans on a chair.,A-N,changed,"Muž mávnul na mikrovlnku, když ležel v křesle.",Muž ležící v křesle mávnul na mikrovlnku.
S008,Some people are boarding a parked double decker bus on a busy street.,U-U,same,Někteří lidi nastupují do dvoupatrového autobusu na rušné ulici.,Nějací lidi nastupují do dvoupodlažního autobusu na rušné ulici.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Žena v modrém lyžařském obleku jede za dvěmi holkami na lyžích.,Žena v modrém lyžařském obleku jede za dvěmi ženami na lyžích.
S009,Andrei looked at Danny moving a yellow chair.,A-N,same,"Andrej vidí Denyho, jak posouvá žlutou židli.","Andrej vidí, jak Dany posouvá žlutou židli."
S050,There is a banana on the stand.,U-R,same,Na stole vidíme banány.,Na stojanu vidíme banány.
S046,A small compact car is driving past a furniture store.,U-U,same,Přes obchod s nábytkem jede malé autíčko.,V obchodě s nábytkem jede malé autíčko.
S001,There is a man wearing a hat sitting under a TV mounted on a wall.,A-U,same,Muž v čepici sedí vedle naproti televizi na zdi.,"Muž v čepici sedí naproti televizi, která visí na zdi."
S002,There are a table with two cakes and champagne glasses and two women serving cake.,U-U,same,"Vidíme stůl, na kterém jsou dva dorty a skleničky na šampaňské a dvě ženy připravují dort.","Na stole vidíme dva dorty a skleničky na šampaňské a ženy, které servírují dort."
S044,A very attractive young woman is turning on the water in the shower.,U-R,same,Velice pěkná mladá žena pustila vodu ve sprše.,Velice hezká mladá žena pouští vodu ve sprše.
S006,There is a table set for a dinner of pizza.,U-R,same,Na stole jsou připraveny příbory na pizzu k obědu.,Na stole jsou připraveny příbory k obědu s pizzou.
S052,This is the second highest rail of the jump.,U-U,same,Tady je druhý nejvyšší skákací můstek.,Tady je druhý nejvyšší skákací můstek.
S043,A man is moving an oven using a dolly.,A-R,not indicated,Muž se hýbe.,Muž veze troubu.
S010,This is a green court.,U-N,same,Tady je zelený úhel.,Tady je zelený úhel.
S048,A bunch of buses are driving along a road with cars.,U-N,same,Kolona autobusů jede po silnici s autama.,Kolona autobusů jede po silnici mezi autama.
S045,There is a clock on a building with people painted around it.,A-U,same,Lidi malují na zeď s hodinami.,Lidi malují na zeď s hodinami.
S051,There is a public transit bus on a city street covered in snow.,A-U,same,Na zasněžené ulici stojí autobus.,Na zasněžené ulici stojí autobus veřejné dopravy.
S060,People are reaching into a broccoli garden and picking broccoli.,U-N,same,Lidi vchází do zahrady s brokolicí a sbírají ji.,Lidi vchází do zahrady s brokolicí a sbírají ji.
S061,A couple of women are walking down a street under a pink umbrella.,A-R,changed,Několik žen jde po ulici s žlutým deštníkem.,Dvě ženy jdou po ulici pod žlutým deštníkem.
S007,There is a red fire hydrant with a chain on a cement sidewalk.,A-U,same,Červený vodní,<no translation recorded>
S062,Two uniformed people are serving food to guests.,U-R,changed,Muži v uni.,<no translation recorded>
S059,A person is putting dough into an oven with a spatula.,A-N,same,Člověk dává něco do trouby.,Člověk dává něco do trouby.
S056,A boat is pulling a water boarder along on a lake.,U-R,same,Člun projíždí na jezeře.,Člun jede po jezeře.
S047,This is a wooden bowl of bananas that someone has drawn faces on.,A-N,same,"V misce leží banány, na které někdo nakreslil obličeje.","V dřevěné misce leží banány, na které někdo nakreslil obličeje."
