Sentence_ID,Original,Congruency,Choice,Translate,Update
S116,This is a silver and black French press coffee pot.,U-R,not indicated,Tady to je stříbrná a černá french press kávová konvice.,Tady to je stříbrno-černá francouzská stlačovací konvice.
S169,There is a stand in the room.,A-U,changed,V místnosti je stojan.,V pokoji je stojan.
S168,There are two foods and one drink set on the clear table.,U-R,not indicated,"Tam jsou dvě jídla, jeden nápoj připravený na stole/připravený na čistém stole.","Tam jsou dvě jídla, jeden nápoj připravený na čistém stole."
S115,A horse reaching over a fence is eating wild grass.,A-R,not indicated,Kůň se natahuje přes plot a jí trávu.,<no translation recorded>
S111,There is a man covering his eyes from sun on a motorcycle.,A-U,same,Tam je muž zakrývající si oči před sluncem na motorce.,Muž na motorce si zakrývá oči pře/před sluncem.
S109,Cars are driving by a gas station with a big sign.,A-R,same,Auta projíždějí benzínovou stanici s velkým nápisem.,Auta projíždějí benzínovou stanici s velkým nápisem.
S108,A woman is pointing at the camera while lying down.,U-N,same,"Žena se kouká do kamery, zatímco leží.","Žena se kouká do kamery, zatímco leží."
S112,A city bus is driving down a crowded city street.,U-U,same,Městský autobus projíždí přeplněnou městskou ulicí.,Městský autobus projíždí přeplněnou městskou ulicí.
S118,A man is putting food on his plate and a woman is pouring wine.,U-U,same,Muž pokládá jídlo na jeho talíř a žena nalévá víno.,Muž si pokládá jídlo na jeho talíř a žena nalévá víno.
S110,A person is looking down at his own shoes and the top of a dog s head.,U-R,same,"Ta osoba se kouká dolů na svoje boty, nebo ten člověk se kouká dolů na svoje boty a na vrch psí hlavy.",Člověk se kouká dolů na svoje boty a na vršek psí hlavy.
S171,There is a man holding roses next to a woman holding a cake.,A-N,changed,"Tam je muž držící růže, vedle ženy, která drží dort.","Vedle ženy, která drží dort, stojí muž, a který drží růže."
S106,A fire hydrant has been painted like an american flag.,U-U,changed,Fire hydrant byl natřen jako americká vlajka.,Fire hydrant byl natřen jako americká vlajka.
S104,A woman has her picture taken as if she is opening the door to a cabin that has bears outside it.,U-R,changed,"Žena se nechala vyfotit, jak otvírá dveře do kabiny, která má vevnitř medvědy.","Žena se nechala vyfotit, jak otvírá dveře do kabiny, před kterou jsou medvědi."
S164,A hotdog is wrapped up in some foil.,U-U,same,Hotdog je zabalen v nějakém obalu.,Hotdog je zabalen v nějaké fólii.
S114,There is a chain linked fence behind players.,U-N,not indicated,Za hráči je plot spojený řetězi.,Za hráči je plot spojený řetězi.
S103,The door of a second bus is open.,A-R,same,Dveře druhého autobusu jsou otevřeny.,Dveře druhého autobusu jsou otevřeny.
S167,Adult carrying a child in full gear including skiis at the bottom of a ski slope.,A-R,changed,"Dospělý nese dětské vybavení včetně lyží vespodu kopce, lyžařského kopce.",Dospělý nese dítě v plným cyklistickým vybavení vespodu lyžařského kopce.
S121,A man is covering his eyes next to cases of bananas.,A-R,changed,Muž vedle krabic s banány si zakrývá oči.,Muž vedle krabic s banány si za/zakrývá oči.
S170,There is a man sitting on a cement block.,U-U,same,Tam sedí muž prostě na bloku cementu.,Tam je muž sedící na bloku cementu.
S119,A cop leads the way for other people on motorcycles.,A-N,changed,Policajt vede cestu pro další motorkáře na moto/na motorkách.,Policajt vede cestu pro další motorkáře na motorkách.
S120,An elephant is sticking its trunk through a fence.,U-N,not indicated,Slon strká svoje tělo skrz plot.,<no translation recorded>
S113,Two men on surfboards catch a breaking wave.,A-N,same,Dva muži na surfovacích prknech chy/chytají vlny.,Dva muži na surfovacích prknech.
S105,A boy and a girl at a table are drawing with oil pastels.,A-U,same,Dívka a chlapec u stolu kreslí s olejovýma pastelkama.,Dívka a chlapec u stolu kreslí olejovýma pastelkama.
S122,Some of the Catholic School children are lined up in single file in front of the microphone.,U-R,changed,Některé děti z katolické školy stojí ve jedné frontě před mikrofonem.,Některé děti z katolické školy stojí v jedné frontě před mikrofonem.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Člověk nebo osoba v modrém lyžařském obleku závodí se dvěma dívkama na lyžích.,Osoba nebo člověk v modrém obleku závodí se dvěma dívkama na lyžích.
S163,The date is orange.,A-U,same,"Schůzka je oranžová, nebo datum je oranžové.","Schůzka je oranžová, nebo datum je oranžový."
S107,A cameraperson is pointing a camera and mic at a speaker.,A-N,same,Kameraman nastavuje kameru a mikrofon na mluvčího.,Kameraman nastavuje kameru a mikrofon na mluvčího.
S117,Many candles are placed on a table in front of a painting.,A-U,same,Hodně svíček je umístěno na stole před obrazem.,Hodně svíček je umístěno na stole před obrazem.
S165,A man hit something that exploded with a bat.,A-N,changed,"Člověk trefil něco, co explodovalo s pálkou.","Člověk uhodil baseballovou pálkou něco, co explodovalo."
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Člověk v modrém obleku závodí se dvěma dívkama na lyžích.,Člověk v modrém obleku závodí se dvěma dívkama na lyžích.
S166,A man takes a selfie as he opens his new computer.,U-N,same,"Muž se sám vyfotí, jakmile otevře jeho nový ko/počítač.","Muž se vyfotí, jakmile otevře jeho nový počítač."
S038,A group of military people is running towards a school bus.,U-N,same,Skupina vojáků běží naproti školnímu nebo běží k/naproti školnímu autobusu.,Skupina vojáků běží naproti školnímu autobusu.
