Sentence_ID,Original,Congruency,Choice,Translate,Update
S021,This is the second car in the train.,A-N,same,Tohle je druhý vagón vlaku.,Tohle je druhý vagón vlaku.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Člověk ve svém modrém lyžovacím oblečení závodí se dvěmi děvčaty na lyžích.,Člověk ve svém modrém lyžovacím obleku závodí se dvěmi děvčaty na lyžích.
S039,A surfer is catching a wave on the ocean.,A-U,same,Serfar chytá vlnu na oceánu.,Serfar chytá vlnu na oceánu.
S024,There is a plate that has food sitting on a table.,U-R,changed,"Je tam talíř, který má na sobě jídlo sedící na stole.",Na stole je talíř s jídlem.
S030,The traffic lights stand out a lot.,U-R,changed,Jízdní světla jsou hodně viditelná.,Semafory jsou hodně viditelné.
S026,A woman is pointing a Wii remote right at the camera.,U-U,same,Žena ukazuje VI ovladačem přímo na kameru.,Žena ukazuje VI ovladačem přímo na kameru.
S018,A woman reaching to hit a tennis ball with a racquet.,U-R,same,Žena se snaží trefit tenisový míček raketou.,Žena se snaží trefit tenisový míček raketou.
S041,A hand is holding a hotdog with ketchup mustard and onions wrapped in foil.,A-N,same,"Muž drží párek v rohlíku s kečupem, hořticí a cibulí, zabalený ve folii.","Muž drží párek v rohlíku s kečupem, hořčicí a cibulí, zabalený ve folii."
S016,The toy train set is set up and being photographed.,U-N,same,Hračka vlaku je postavená a fotografována.,Hračka vlaku je připravená a fotografována.
S017,Danny put down the bag and the chair it is yellow.,A-R,changed,"Denny dal dolů tašku a židli, je žlutá.","Denny dal dolů tašku na židli, která je žlutá."
S015,There is a small kitchenette opening up to another room.,A-N,same,"Je tam malá kuchyňka, otvřená do další místnosti.","Je tam malá kuchyňka, otevřená do další místnosti."
S038,A group of military people is running towards a school bus.,U-R,changed,Skupina vojáků běží napřed školnímu autobusu.,Skupina vojáků běží ke školnímu autobusu.
S025,A group of police officers is standing in front of a parade.,A-U,same,Skupina policistů stojí před pomenádou.,Skupina policistů stojí před promenádou.
S029,A jogging couple is resting on benches at the pier across the city view.,A-R,same,Běhající pár odpočívá na lavičkách na nábřeží oproti výhledu na město.,Běhající pár odpočívá na lavičkách na nábřeží oproti výhledu na město.
S034,Some friends are hand shaking in the baseball stadium.,U-U,same,Nějací kamarádi si potřásají rukami na baseballovém stadionu.,Nějací kamarádi si potřásají rukami na baseballovém stadionu.
S028,A couple of wood signs are pointing in different directions.,U-N,changed,Pár dřevěných značek ukazuje v jiných směrech.,Pár dřevěných značek ukazuje do rozdílných směrů.
S023,A man in a colorful umbrella hat holds an orange.,A-R,same,Muž s barevnou deštníkovou čepicí drží pomeranč.,Muž s barevnou deštníkovou čepicí drží pomeranč.
S040,A motorcycle racer on a track is leaning into a curve.,U-U,same,Motocyklový závodník na dráze se naklání do zatáčky.,Motocyklový závodník na dráze se naklání do zatáčky.
S011,A young man is looking into the inside of a refrigerator through bottles.,A-R,changed,Mladý muž se dívá dovnitř ledničky skrz lahve.,Mladý muž se dívá na lahve uvnitř ledničky.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Člověk v modrém obleku na lyže závodí se dvěmi děvčaty na lyžích.,Člověk v modrém obleku na lyže závodí se dvěmi děvčaty na lyžích.
S027,There is a bar with neon lights behind the bottles.,A-N,same,Za lahvemi je bar s neonovými světly.,Za lahvemi je neon s neonovými světly.
S036,Eight movers are helping someone move into their new home.,U-N,same,Osm stěhováků někomu pomáhá nastěhovat se do nového domu.,Osm stěhováků pomáhá někomu nastěhovat do nového domu.
S022,This is some type of a fair.,U-N,same,Je to nějaký druh pouti.,Je to nějaký druh pouti.
S033,A girl in a dress is leaning back on a cow wearing a straw hat.,A-U,same,"Dívka v šatech se opírá o krávu, která má na sobě slaměnou čepici.","Dívka v šatech se opírá o krávu, která má na sobě slaměnou čepici."
S019,A pregnant woman is writing on her stomach holding a yellow teddy bear.,A-U,same,Těhotná žena si píše na svoje břicho a drží u toho žlutého medvídka.,Těhotná žena si píše na břicho a drží u toho žlutého medvídka.
S037,Person airborne over a skateboard as the sun is setting.,A-R,same,"Člověk ve vzduchu nad stateboardem, zatímco zapadá slunce.","Člověk ve vzduchu nad skateboardem, zatímco zapadá slunce."
S020,This is a blue wall beside a tennis court.,U-U,same,Toto je modrá stěna vedle tenisového hřiště.,Toho je modrá stěna vedle tenisového hřiště.
S035,A metal artwork displays a clock in the middle of a floor.,A-N,same,"Kovový výtvarný displej, hodiny uprostřed podlahy.","Kovový výtvarný displej, hodiny uprostřed podlahy."
S013,The characters are chinese.,A-U,same,Ta písmena jsou čínská.,Ta písmena jsou čínská.
S014,A man in blue shirt is sitting on a pile of luggage.,U-U,same,Muž v modré košili sedí na hromadě kufrů.,Muž v modré košili sedí na hromadě kufrů.
S012,A jockey is racing on a horse in the rain.,U-R,same,Žokej závodí na koni v dešti.,Žokej závodí na koni v dešti.
S042,A picture of a recently married couple is displayed behind glass.,U-N,same,Obrázek novomanželů je vystaven za sklem.,Obrázek novomanželů je vystaven za sklem.
