Sentence_ID,Original,Congruency,Choice,Translate,Update
S172,A person is pushing a button on a television.,A-N,same,Člověk mačká knoflík na televizi.,Člověk mačká knoflík na televizi.
S069,Two boys are speaking in a classroom with desks and chairs.,A-U,changed,2 chlapci mluví v učebně se stoly a židlemi.,2 chlapci mluví ve třídě se stoly a židlemi.
S175,Two men are racing horses down a racing track.,U-R,not indicated,2 muži jedou na koních do jedou na koních dolu po dostihové dráze.,2 muži soutěží na koních na dostihách.
S169,There is a stand in the room.,A-R,changed,Je tu pódium v pokoji.,Je tu věšák v pokoji.
S064,The girl is stretching to reach the tennis ball with her racket.,U-U,same,Dívka se natahuje pro tenisový míček se svojí raketou.,Dívka se.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,changed,Osoba v modrém lyžařském úboru závodí se dvěmi dívkami na lyžích.,Osoba v modrém lyžařském oděvu závodí s dvěma dívkami na běžkách.
S067,The stand is stable.,A-R,changed,Věšák je stabilní.,Stolek je stabilní.
S170,There is a man sitting on a cement block.,U-R,changed,Je tam muž sedící na cementovém bloku.,Je tam muž sedící na cementovém podstavci.
S164,A hotdog is wrapped up in some foil.,U-R,changed,Párek v rohlíku je obalen v nějaké fólii.,Párek v rohlíku je zabalen ve fólii.
S168,There are two foods and one drink set on the clear table.,U-N,same,Jsou tam 2 jídla a 1 drink na průhledném stole.,Jsou tam 2 jídla a 1 pití na průhledném stole.
S065,There is a knife set in a wooden block.,A-N,same,Je tam nůž v dřevěné krabici.,<no translation recorded>
S068,Two women and four men are playing with a white frisbee.,U-R,same,2 ženy a 4 muži si hrají s bílým frisbee.,2 ženy a 4 muži si hrají s bílým frisbee.
S166,A man takes a selfie as he opens his new computer.,U-U,same,Muž si dělá selfie když otevře svůj nový počítač.,Muž si dělá selfie když otevře nový počítač.
S174,A man is reaching down for something in a box.,A-R,same,Muž se natahuje pro něco dolu v krabici.,Muž se natahuje pro něco dolu v krabici.
S066,A dog gets its teeth brushed by a man.,U-N,changed,Pes dostane vyčištění zubů od muže.,Pes si nechá vyčistit zuby od muže.
S165,A man hit something that exploded with a bat.,A-U,changed,"Muž trefil něco, co exlodovalo s pálkou.",Muž trefil něco s pálkou a explodovalo to.
S070,There is snow on the trees at a cross country ski race.,U-U,same,Je tam sníh na stromech u běžkové trati.,Je tam sníh na stromech u běžkové trati.
S167,Adult carrying a child in full gear including skiis at the bottom of a ski slope.,A-N,changed,Dospělý nese dítě v plné soupravě zahrnující lyže na konci lyžařské trati.,Dospělý nese dítě v plné soupravě obsahující lyže na konci sjezdovky.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modrém lyžařském obleku závodí s dvěmi dívkami na běžkách.,Osoba v modré lyžařském obleku závodí s dvěmi dívkami na běžkách.
S180,A man and a woman are shaking hands amidst a crowd by a cake.,A-R,changed,Muž a žena si podávají ruce před dortem.,Muž a žena si třesou rukama před lidmi a dortem.
S180,A man and a woman are shaking hands amidst a crowd by a cake.,A-R,changed,To je druhá bílá ručička na hodinách.,To je malá ručička na hodinách.
S176,There are white forms on a keyboard.,A-U,changed,Jsou tam bílá tlačítka na klávesnici.,Jsou tam bílá políčka na klávesnici.
S063,A very crowded street sign is pointing to attractions in multiple directions.,A-U,same,Hodně obklopená značka ukazuje na atrakci v několika směrech.,Hodně obklopená značka ukazuje na atrakci v několika směrech.
S177,A man is putting a turkey into the oven.,U-U,same,Muž dává krocana do trouby.,Muž dává krocana do trouby.
S038,A group of military people is running towards a school bus.,U-U,same,Skupina vojenských lidí běží proti školnímu autobusu.,skupina vojenských osob běží naproti školnímu autobusu.
S171,There is a man holding roses next to a woman holding a cake.,A-U,same,Je tu muž držící růže vedle ženy držící dort.,Je tu muž držící růže vedle ženy držící dort.
S163,The date is orange.,A-R,same,Datum je oranžové.,Datum je oranžové.
S173,A woman on skis is looking back to the person behind her.,U-N,changed,Žena na lyžích se dívá za sebe na osobu.,Žena na lyžích se dívá na osobu za sebe.
S071,There is a line of double decker buses with a clock tower in the background.,A-N,changed,Je tu řada dvoupatrových autobusů s hodinami na věži v pozadí.,Je tu řada dvoupatrových autobusů a hodinová věž v pozadí.
S072,A man is putting a coffee cup in a microwave.,U-N,same,Muž dává kávový hrnek do mikrovlnky.,Muž dává kávový hrnek do mikrovlnky.
S179,A small child wrapped in a towel lies on a bed.,U-N,changed,Malé dítě zabalené v ručníku leží na posteli.,Malé dítě zabalené v ručníku leží na posteli.
S178,There is a black TV stand with flat screen.,A-N,changed,<no translation recorded>,Je tu černý stolek s plochou televizí.
