Sentence_ID,Original,Congruency,Choice,Translate,Update
S186,Water passing under a bridge that cars are driving on top of.,A-N,same,Voda plující pod mostem na kterou přejíždějí auta.,Voda plující pod mostem na kterou přejíždějí auta.
S182,There is a press box on the tennis court.,A-R,same,Na tenisovém kurtu je krabice.,Na tenisovém kurtu je krabice.
S184,There is a stand with information.,A-U,same,Toto je cedule s informací.,Toto je cedule s informací.
S194,A man inside a room is putting together a white kite.,U-R,changed,Muž v pokoji dává dohromady bílého draka,Muž v pokoji vyrábí bílého draka.
S126,The people move about and congregate in the public area next to the large white tent.,U-N,same,Pohybující se na veřejném místě vedle velkého bílého stanu.,Lidé pohybující se na veřejném místě vedle bílého vedle velkého bílého stanu.
S129,Two women are kissing a man for a photograph.,A-U,same,"Dvě ženy se líba, dvě ženy líbají muže na fotografii.",Dvě ženy líbají muže na fotografii.
S131,There is a professional speaker on the stage pointing out his coworker.,A-N,same,"Na stagi je profesionální mluvčí, který ukazuje na svého spolupracovníka.","Na stagi je profesionální mluvčí, který ukazuje na svého spolupracovníka."
S031,A person in a blue ski suit is racing two girls on skis.,A-X,changed,Osoba v modré lyžovaci v bundě závodí s dvěma (že) holkami na lyžích.,Žena v fialové lyžovací bundě závodí se dvěma ženami na lyžích.
S197,A TV is showing two men in hats and women.,A-N,same,V televizi jsou dva paní s klobouky a ženy.,V televizi jsou dva muži s klobouky a ženy.
S200,There is a date stamp of March 16th 2008.,U-R,changed,Je zde časová známka datována k šestnáctému dubnu dva tisíce osm.,Je zde časová známka k datu šestnáctého března dva tisíce osm.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,changed,Osoba v modré lyžařské bundě závodí s dvěma dívkami na lyžích.,Žena v fialové bundě závodí s dvěma ženami na lyžích.
S124,A young woman is holding a freshly pulled carrot up in the air.,U-U,same,Mladá žena drží čerstvě vytaženou mrkev ve vzduchu.,Mladá žena drží čerstvě vytaženou mrkev ve vzduchu.
S183,A man is reading a book while another is holding a dog.,U-R,same,Muž čte knížku zatímco jiný drží psa.,Muž čte knížku zatímco druhý drží psa.
S123,Some cows are painted with pink and purple dots.,A-U,same,Nějaké krávy mají růžové a fialové tečky.,Nějaké krávy mají růžové a fialové tečky.
S191,A man and his dog walk to the sink of a kitchen cluttered with objects.,A-N,same,Žena a její pes jdou k dřezu plného věcí.,Žena a její pes jdou k dřezu plného věcí.
S125,A man is pushing a wheelchair on the street.,A-N,same,Muž tlačí kolečkové křeslo na ulici.,Muž tlačí kolečkové křeslo na ulici.
S195,There are red cushions against a window in front of table with a table light and a bench.,A-U,changed,Před oknem jsou červené záclony se stolem se stolním světlem a lavičkou.,Před oknem jsou červené polštáře se stolem se stolním světlem a lavičkou.
S192,A television is turned on on a wooden shelf.,U-N,same,Na dřevěné polici běží televize.,Na dřevěné polici běží televize.
S128,A man is writing something down while on a cell phone.,U-R,changed,Muž něco píše zatímco telefonuje.,Muž si něco zapisuje zatímco telefonuje.
S188,A small boy reaches up into the kitchen sink.,U-R,changed,Malý kluk snažící se dosáhnout do kuchyňského dřezu.,Malý kluk šahající do kuchyňského dřezu.
S193,Danny looked at Andrei putting down a yellow chair.,A-R,changed,Dany se kouká na Andreje jak pokládá žlutou sedačku.,Dany pokládající žlutou sedačku se podíval na Andreje.
S199,A man and his skateboard have been caught mid flight during a leap.,A-R,changed,Muž a jeho skateboard byl zachycen ve vzduchu při přeskakování.,Muž na skateboardu byl zachycen při ve skoku.
S198,A baseball player runs to catch a ball that has been pitched.,U-N,same,"Baseballový hráč běžící za míčem, který byl odpálen.","Baseballový hráč běžící za míčem, který byl odpálen."
S079,A man falls while trying to catch a wave surfing.,A-R,same,Muž spadne zatímco se snaží naject na vlnu.,Muž surfující muž spadne zatímco se snaží naject na vlnu.
S185,Cars line up to coin meters on at a busy sidewalk.,U-U,same,Auta se škatulkují u parkovacího automatu na rušné třídě.,Auta se škatulkují u parkovacího automatu na rušné třídě.
S132,A man and a woman are showing off their food.,U-N,same,Muž a žena předvádějí své jídlo.,Muž a žena předvádějí své jídlo.
S127,Andrei and Danny picked up a yellow bag.,A-R,changed,Andrej a Deny vzali žlutou tašku.,Andrej a Deny zvedli žlutou tašku.
S130,There are silver springs on the side of a bike.,U-U,same,Na straně kola jsou stříbrné pružiny.,Na straně kola jsou stříbrné pružiny.
S189,Danny left the chair with a blue telescope.,A-U,same,Deny opustil křeslo na kterém byl modrý teleskop na kterém byl modrý dalekohled.,Deny opustil křeslo na kterém byl modrý dalekohled.
S187,A man leans back and gets ready to fall during part of the game.,U-N,not indicated,Muž se nakloní dozadu a je připraven spadnout během této části hry.,Muž se nakloní dozadu a je připraven spadnout během této části hry.
S196,There is an older person passing out plates of food to young people.,U-U,same,Je zde stará osoba rozdávající talíře jídla mladým lidem.,Je zde stará osoba rozdávající talíře jídla mladým lidem.
S190,A young boy in the bed is reading a book to his little sibling.,U-U,same,Mladý muž v posteli čte knížku jeho malému sourozenci.,Mladý muž v posteli čte knížku jeho malému sourozenci.
