Sentence_ID,Original,Congruency,Choice,Translate,Update
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Osoba v modrém lyžovacím dresu závaodí s dvěmi holkami na lyžích.,Osoba v modrém lyžovacím dresu závodí s dvěmi holkami na lyžích.
S053,A man gestures over a microwave as he leans on a chair.,A-R,changed,"Muž gestikuluje nad mikrovlnkou, když se nahýbá nad židli.","Muž gestikuluje nad mikrovlnkou, když se opírá o židli."
S005,There are series of curved forms around the body.,A-U,changed,Okolo těla je několik zahnutých forem.,Za tělesem je několik záhybů.
S016,The toy train set is set up and being photographed.,U-R,changed,Sada vláčků je naaranžována a je fotografována.,Sada vláčků je připravena a je fotografována.
S009,Andrei looked at Danny moving a yellow chair.,A-R,changed,"Andrej kouká na Dennyho, jak pohybuje žlutou židlí.",Andrej při pohybování žlutou židlí kouká na Dennyho.
S061,A couple of women are walking down a street under a pink umbrella.,A-U,same,Několik žen jde ulicí pod růžovým deštníkem.,Několik žen jde ulicí pod růžovým deštníkem.
S059,A person is putting dough into an oven with a spatula.,A-R,same,Osoba do trouby strká těsto naběračkou.,Osoba do trouby strká těsto naběračkou.
S055,A man is paddle boarding on a city river.,A-U,same,Muž vesluje na paddleboardu na městské řece.,Muž vesluje na paddleboardu na městské řece.
S012,A jockey is racing on a horse in the rain.,U-U,same,Žokej závodí na koni v dešti.,Žokej závodí na koni v dešti.
S015,There is a small kitchenette opening up to another room.,A-R,changed,V kuchyni je malý otvor do dalšího pokoje.,V malé kuchyňce je otvor do dalšího pokoje.
S020,This is a blue wall beside a tennis court.,U-N,same,Tohle je modrá zeď za tenisovým kurtem.,Tohle je modrá zeď za tenisovým kurtem.
S007,There is a red fire hydrant with a chain on a cement sidewalk.,A-N,same,Na betonovém chodníku je červený hydrant s řetězem.,Na betonovém chodníku je červený hydrant s řetězem.
S062,Two uniformed people are serving food to guests.,U-U,changed,Dva uniformovaní lidé servírují jídlo hostům.,Dva lidé v uniformách servírují jídlo hostům.
S001,There is a man wearing a hat sitting under a TV mounted on a wall.,A-N,same,Je tam muž s kloboukem sedící pod televizí namontovanou na zdi.,Je tam muž s kloboukem sedící pod televizí namontované na zdi.
S019,A pregnant woman is writing on her stomach holding a yellow teddy bear.,A-N,same,Těhotná žena píše na své břicho držíc žlutého méďu.,Těhotná žena píše na své břicho držíc žlutého méďu.
S018,A woman reaching to hit a tennis ball with a racquet.,U-U,same,Žena napřahující se k zásahu tenisového míčku raketou.,Žena napřahující se k zásahu tenisového míčku raketou.
S060,People are reaching into a broccoli garden and picking broccoli.,U-R,changed,Lidé se natahují do zahrady s brokolicí a sbírají brokolici.,Lidé sbírají brokolici v zahradě s brokolicemi.
S054,An old lady wrapped in a blanket is eating food.,U-R,same,Stará dáma zahalená v přikrývce jí jídlo.,Stará dáma zahalená v přikrývce jí jídlo.
S056,A boat is pulling a water boarder along on a lake.,U-U,same,Loď na jezeře za sebou táhne nástupní můstek.,Loď na jezeře za sebou táhne nástupní můstek.
S011,A young man is looking into the inside of a refrigerator through bottles.,A-U,same,Mladý muž se kouká do ledničky skrz lahve.,Mladý muž se kouká do ledničky skrz lahve.
S057,Several people in soccer uniforms running around with people and stands on the sidelines.,A-N,same,Několik lidí ve fotbalových uniformách běhají kolem s lidmi a stánky na krajích.,Několik lidí ve fotbalových uniformách běhají kolem s lidmi a stánky na krajích.
S017,Danny put down the bag and the chair it is yellow.,A-U,same,"Denny položil batoh a židli, to je žluté.","Denny položil ten batoh a tu židli, to je žluté."
S004,Some people are standing in the middle of the street lined with motorcycles.,U-R,same,Nějací lidé stojí uprostřed ulice lemované motocykly.,Nějací lidé stojí uprostřed ulice lemované motocykly.
S013,The characters are chinese.,A-N,same,Znaky jsou v čínštině.,Znaky jsou v čínštině.
S006,There is a table set for a dinner of pizza.,U-U,same,Stůl je připraven na večeři s pizzou.,Stůl je připravem na večeři s pizzou.
S058,A helmeted man is mounting his well maintained motor cycle.,U-N,same,Opřilbovaný muž nasedá na svůj dobře udržovaný motocykl.,Ohelmovaný muž nasedá na svůj dobře udržovaný motocykl.
S008,Some people are boarding a parked double decker bus on a busy street.,U-N,same,Nějací lidé nasedají do zaparkovaného dvouposchoďového autobusu na rušné ulici.,Nějací lidé nasedají na zaparkovaného dvouposchoďového autobusu na rušné ulici.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modrém lyžovacím obleku závodí se dvěmi holkami na lyžích.,Osoba v modrém lyžovacím obleku závodí se dvěmi holkami na lyžích.
S014,A man in blue shirt is sitting on a pile of luggage.,U-N,same,Muž v modré košili sedí na hromadě zavazadel.,Muž v modré košili sedí na hromadě zavazadel.
S010,This is a green court.,U-R,changed,Tohle je zelené náměstí.,Tohle je zelené hřiště.
S003,There is a stoplight with images drawn on each of the lights.,A-R,changed,Je tam semafor s obrázky na obou světlech.,Je tam semafor s obrázky na všech světlech.
S002,There are a table with two cakes and champagne glasses and two women serving cake.,U-N,same,Je tam stůl se dvěma dorty a sklenicí šampaňskými a dvě ženy servírující dort.,Je tam stůl se dvěma dorty a sklenicí šampaňskými a dvě ženy servírující dort.
