Sentence_ID,Original,Congruency,Choice,Translate,Update
S189,Danny left the chair with a blue telescope.,A-C,changed,Danny opustil židli s modrým teleskopem.,Danny opustil židli s modrým teleskopem.
S040,A motorcycle racer on a track is leaning into a curve.,U-C,same,Řidič motocyklu na trati se naklání do zatáčky.,Řidič motocyklu na trati se naklání do zatáčky.
S187,A man leans back and gets ready to fall during part of the game.,U-I,same,Muž se zakloní a připraví se na pád během / během části hry.,Muž se zakloní a připraví se na pád během části hry.
S033,A girl in a dress is leaning back on a cow wearing a straw hat.,A-C,changed,"Dívka v šatech se opírá o krávu, která má slamák.",Dívka v šatech se opírá na krávu nosící slámak.
S184,There is a stand with information.,A-C,same,Tam je stánek s informacemi.,Je tam stánek s informacemi.
S190,A young boy in the bed is reading a book to his little sibling.,U-C,not indicated,Mladý chlapec v posteli čte knihu svému malému sourozenci.,Mladý kluk v posteli čte knihu svému mladému sourozenci.
S195,There are red cushions against a window in front of table with a table light and a bench.,A-C,changed,Černé polštářky jsou opřené o okno před stolem se stolním světýlkem a lavičkou.,Jsou tam černé polštářky opřené o okno před stolem se stolním světýlkem a lavicí.
S186,Water passing under a bridge that cars are driving on top of.,A-I,changed,Voda proudí pod mostem přes který proudí auta.,Voda proudí pod mostem přes který jedou auta.
S199,A man and his skateboard have been caught mid flight during a leap.,A-N,changed,Muž na skateboardu byli zachyceni během skoku.,Muž a jeho skateboard byli zachyceni během letu během skoku.
S193,Danny looked at Andrei putting down a yellow chair.,A-N,changed,"Danny se podíval na Andreje, který dával dolů žlutou židli.","Danny se podíval na Andreje, který dával dolů žlutou židli."
S042,A picture of a recently married couple is displayed behind glass.,U-I,same,Obrázek čerstvě vdané dvojice je vystaven za sklem.,Obrázek nově novomanželů je vystaven za sklem.
S038,A group of military people is running towards a school bus.,U-N,changed,Skupina vojáků běží naproti školnímu autobusu.,Skupina vojáků běží naproti školnímu autobusu.
S041,A hand is holding a hotdog with ketchup mustard and onions wrapped in foil.,A-I,same,"Ruka drží párek v rohlíku s kečupem, hořčicí a cibulí zabalený do fólie.","Ruka/ruka drží párek v rohlíku s kečupem, hořčicí a cibulí zabalený do fólie."
S035,A metal artwork displays a clock in the middle of a floor.,A-I,same,Kovové umělecké dílo ukazuje hodiny uprostřed podlahy.,Kovové umělecké dílo ukazuje hodiny uprostřed podlahy.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,changed,Osoba v jejím modrém lyžařském obleku závodí s dvěmi dívkami na lyžích.,Osoba v jejím modrém lyžařském obleku je závodí dívky na lyžích.
S188,A small boy reaches up into the kitchen sink.,U-N,same,Malý chlapec šahá do kuchyňského dřezu.,Malý chlapec šahá do kuchyňského dřezu.
S196,There is an older person passing out plates of food to young people.,U-C,changed,Stará osoba podává talíře s jídlem mladým lidem.,"Je tam nějaký starý člověk, který podává talíře s jídlem mladým."
S036,Eight movers are helping someone move into their new home.,U-I,same,8 stěhováků pomáhají někomu se přestěhovat do jejich nového domova.,8 stěhováků pomáha někomu přestěhovat se do jejich nového domu.
S197,A TV is showing two men in hats and women.,A-I,changed,V televizi jsou ukázání 2 muži v kloboucích a ženy.,V televizi jsou 2 muži v kloboucích a ženy.
S079,A man falls while trying to catch a wave surfing.,A-N,same,Muž spadne když se snaží chytit vlnu při surfování.,Muž spadne když se snaží chytit vlnu při surf.
S185,Cars line up to coin meters on at a busy sidewalk.,U-C,changed,Auta se řadí k parkovacím automatům na rušné ulici.,Auta se řadí k parkovacím automatům u rušného chodníku.
S200,There is a date stamp of March 16th 2008.,U-N,same,Je tam razítko s datem 16. března 2008,Je tam razítko s datem 16. března 2008
S198,A baseball player runs to catch a ball that has been pitched.,U-I,same,"Hráč basketballu běží aby chytil míček, který byl hozen.","Hráč basketballu běží aby chytil míček, který byl hozen."
S194,A man inside a room is putting together a white kite.,U-N,same,Muž v místnosti skládá bílýho draka.,Muž v místnosti skládá bílého draka.
S034,Some friends are hand shaking in the baseball stadium.,U-C,same,Nějací přátelé si potřásají rukama v baseballovém stadionu.,Nějací přátelé si potřásají rukama v baseballovém stadionu.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modrém lyžařském obleku závodí se dvěmi dívkami na lyžích.,Osoba v modrém lyžařském obleku závodí se dvěmi dívkami na lyžích.
S182,There is a press box on the tennis court.,A-N,changed,Je tam na tenisovém hřišti.,Na tenisovém hřišti je budka.
S192,A television is turned on on a wooden shelf.,U-I,same,Na dřevěné polici je zapnutá televize.,Na dřevěné polici je zapnutá televize.
S039,A surfer is catching a wave on the ocean.,A-C,same,Surfař chytá vlnu na oceánu.,Surfař chytá vlnu na oceánu.
S191,A man and his dog walk to the sink of a kitchen cluttered with objects.,A-I,changed,Muž a jeho pes jdou k umyvadlu v kuchyni plnému věcí.,Muž a jeho pes jdou ke kuchyňskému umyvadlu plnému věcí.
S183,A man is reading a book while another is holding a dog.,U-N,same,Jeden muž čte knihu a druhý drží psa.,Jeden muž čte knihu a mezitím další drží psa.
S037,Person airborne over a skateboard as the sun is setting.,A-N,changed,Osoba v letu na skateboardu u slunce.,Osoba na skateboardu v letu jak slunce zapadá.
