Sentence_ID,Original,Congruency,Choice,Translate,Update
S127,Andrei and Danny picked up a yellow bag.,A-N,same,Andrej a Dany zvedli růž/žlutou tašku.,Andrej a Dany zvedli žlutou tašku.
S129,Two women are kissing a man for a photograph.,A-C,same,Dvě ženy se fotí jak líbají muže.,Dvě ženy se fotí jak líbají muže.
S144,This is a fryer that moves donuts down the fryer.,U-I,same,"Toto je smažič, který posouvá donuty dále.","Toto je smažič, který posouvá donuty dále."
S151,Several people are sitting around a table in a small room with a laptop books and papers.,A-N,same,"Několik lidí sedí v malém pokoji okolu stolu s laptopem, knihami a papíry.","Několik lidí sedí v malém pokoji okolu stolu s laptopem, knihami a papíry."
S147,There is a beer resting on the seat of a motorcycle.,A-C,same,Na sedadle motorky je pivo.,Na sedadle motorky je pivo.
S134,The two people are riding on a black bike.,U-N,same,Dva lidé jedou na černém kole.,Dva lidé jedou na černém kole.
S135,There are streamers and ribbon suspended by lights hanging from a ceiling.,A-C,same,"Ze stropu je/jsou zavěšená světla, ze kterých visí stužka.","Ze stropu jsou (zavěšená) světla, na kterých je zavěšená stužka."
S130,There are silver springs on the side of a bike.,U-C,same,Ze strany kola jsou šedé pružiny.,Ze strany kola jsou šedé pružiny.
S148,Two men are snow skiing and one has fallen down.,U-C,same,Dva lidé lyžují a jeden spadl.,Dva lidé lyžují a jeden spadl.
S132,A man and a woman are showing off their food.,U-I,same,Muž a žena se chlubí svým jídlem.,Muž a žena se chlubí svým jídlem.
S123,Some cows are painted with pink and purple dots.,A-C,same,Na některých krávách jsou namalované růžové a fialové puntíky.,Na některých krávách jsou namalované růžové a fialové puntíky.
S126,The people move about and congregate in the public area next to the large white tent.,U-I,same,Vedle velkého bílého stanu se shlukují lidé.,V prostoru vedle velkého bílého stanu se shlukují lidé.
S136,A group of men is using poles to push themselves on skateboards.,U-C,same,Skupina lidí na skateboardech se odráží tyčemi.,Skupina lidí na skatech se odráží tyčemi.
S131,There is a professional speaker on the stage pointing out his coworker.,A-I,same,"Na pódiu je profesionální mluvčí, který ukazuje na svého kolegu.","Na pódiu je profesionální mluvčí, který ukazuje na svého kolegu."
S145,A man reaches with a racket to return a tennis ball.,A-N,same,"Muž s raketou se nahýbá, aby odpálil tenisový míček.","Muž s raketou se nahýbá, aby odpálil tenisový míček."
S124,A young woman is holding a freshly pulled carrot up in the air.,U-C,same,Mladá žena drží ve vzduchu čerstvě vytaženou mrkev.,Mladá žena drží ve vzduchu čerstvě vytaženou mrkev.
S133,There is a red white and blue shelter on a populated beach.,A-N,same,"Na zalidněné pláži je červený, bílý a modrý úkryt.","Na zalidněné pláži je červený, bílý a modrý úkryt."
S142,A table is set up with wine glasses and a cake.,U-C,same,Na stole je dort a skleničky na víno.,Na stole je dort a skleničky na víno.
S149,A woman with a dog is talking to two people sitting on a bench.,A-I,same,Paní se psem mluví s dvěma lidmi na lavičce.,Paní se psem mluví se dvěma lidmi na lavičce.
S146,Several people are pushing a truck from the dirt onto the road.,U-N,same,Několik lidí tlačí náklaďák z bahna zpátky na cestu.,Několik lidí tlačí náklaďák z bahna zpět na cestu.
S128,A man is writing something down while on a cell phone.,U-N,same,Muž si něco zapisuje během telefonátu.,Muž si něco zapisuje během telefonátu.
S140,A young boy is putting ingredients into a blender.,U-N,same,Chlapec dává ingredience do mixéru.,Chlapec dává ingredience do mixéru.
S139,A modern building has a long table holding many fruits and vegetables.,A-N,same,V moderní budově je dlouhý stůl s/se spoustou ovoce a zeleniny.,V moderní budově je dlouhý stůl se spoustou ovoce a zeleniny.
S137,A yellow and blue train is pulling into a train station.,A-I,same,Růžový a modrý vlak přijíždějí do stanice.,Růžový a modrý vlak přijíždějí do stanice.
S150,A person lights a candle that is on a piece of cake.,U-I,same,Muž zapaluje svíčku na dortu.,Muž zapaluje svíčku na dortu.
S125,A man is pushing a wheelchair on the street.,A-I,same,Muž tlačí vozík po ulici.,Muž tlačí vozík po ulici.
S143,A television screen is displaying a cow in a wooded area.,A-I,same,V televizi je kráva v zalesněné oblasti.,V televizi je kráva v zalesněné oblasti.
S152,There are balconies on the second storey of the buildings.,U-N,same,V druhém patře budov jsou balkóny.,V druhém patře budov jsou balkóny.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Žena v modré kombinéze závodí s dvěma holkama na lyžích.,Žena v modré kombinéze závodí s dvěma holkama na lyžích.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Žena v modré kombinéze závodí s dvěma holkama na lyžích.,Žena v modré kombinéze závodí s dvěma holkama na lyžích.
S138,There is a woman in a seat with hair blowing in the wind.,U-I,same,"Na sedadle sedí žena, které vlají vlasy ve větru.","Na sedadle sedí žena, které vlají vlasy ve větru."
S141,Many large pots have been set beside large spoons.,A-C,same,Vedle velkých lžící jsou i velké hrnce.,Vedle velkých lžící jsou i velké hrnce.
