Sentence_ID,Original,Congruency,Choice,Translate,Update
S114,There is a chain linked fence behind players.,U-C,not indicated,Za hráči je drátěný plot.,Za hráči je drátěný plot.
S165,A man hit something that exploded with a bat.,A-C,same,Muž bije něco co exploduje s pálkou.,Muž mlátí do něčeho co exploduje s pálkou.
S119,A cop leads the way for other people on motorcycles.,A-C,same,Policista uvolňuje cestu pro lidi na motorkách.,Policista uvolňuje cestu pro lidi na motorkách.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Člověk v modré lyžařské kombinéze soutěží s dvěma dívkami na lyžích.,Člověk v modré lyžařské kombinéze soutěží se dvěma dívkami na lyžích.
S179,A small child wrapped in a towel lies on a bed.,U-I,same,Malé dítě zabalené do ručníku leží na posteli.,Malé dítě zabalené do ručníku leží na posteli.
S177,A man is putting a turkey into the oven.,U-C,same,Muž dává krocana do pece.,Muž dává krocana do pece.
S172,A person is pushing a button on a television.,A-I,same,Osoba stiskává tlačítko na televizi.,Osoba stiskává tlačítko na televizi.
S164,A hotdog is wrapped up in some foil.,U-N,same,Hotdog je zabalený do nějaké fólie.,Hotdog je zabalený do nějaké fólie.
S116,This is a silver and black French press coffee pot.,U-I,same,Tohle je stříbrný a černý francouzský šálek na kávu.,Tohle je stříbrný a černý francouzský šálek na kávu.
S180,A man and a woman are shaking hands amidst a crowd by a cake.,A-N,same,Muž a žena si podávají ruce v davu u dortu.,Muž a žena si podávají ruce v davu u dortu.
S178,There is a black TV stand with flat screen.,A-I,same,Je tu černá televize s plochou obrazovkou.,Je tu černá televize s plochou obrazovkou.
S169,There is a stand in the room.,A-N,same,V místnosti je pultík.,V místnosti je pultík.
S171,There is a man holding roses next to a woman holding a cake.,A-C,same,Je tu muž vedle ženy držící koláč.,Je tu muž držící růže vedle ženy držící koláč.
S163,The date is orange.,A-N,same,Datum je oranžové.,Datum je oranžové.
S181,This is a white second hand on the clock.,U-N,same,Tohle je bílá vteřinová ručička na hodinách.,Tohle je bílá hodinová ručička bílá vteřinová ručička na hodinách.
S168,There are two foods and one drink set on the clear table.,U-I,same,Jsou tady dvě jídla a jeden nápoj položené na čistém stole.,Jsou tu dvě jídla a jeden nápoj položené na čistém stole.
S120,An elephant is sticking its trunk through a fence.,U-C,changed,Slon prostrkává svůj trup skrz plot.,Slon prostrkává svůj chobot skrz plot.
S118,A man is putting food on his plate and a woman is pouring wine.,U-N,same,Muž dává / muž si dává jídlo na svůj talíř a žena nalévá víno.,Muž si dává jídlo na svůj talíř a žena nalévá víno.
S115,A horse reaching over a fence is eating wild grass.,A-I,same,Kůň natahující se přes plot jí divokou trávu.,Kůň natahující se přes plot jí divokou trávu.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modré kombinéze závodí se dvěma dívkami na lyžích.,Osoba v modré lyžařské kombinéze závodí se dvěma dívkami na lyžích.
S176,There are white forms on a keyboard.,A-C,same,Na klávesnici jsou bílé formuláře.,Na klávesnici jsou bílé formuláře.
S166,A man takes a selfie as he opens his new computer.,U-C,changed,Muž si dělá selfíčko když otvírá nový počítač.,Muž si dělá selfíčko když rozbaluje svůj nový počítač.
S038,A group of military people is running towards a school bus.,U-C,same,Skupina vojáků běží směrem ke školnímu autobusu.,Skupina vojáků běží ke školnímu autobusu.
S121,A man is covering his eyes next to cases of bananas.,A-I,same,Muž si zakrývá oči vedle krabic s banány.,Muž si zakrývá oči vedle krabic s banány.
S117,Many candles are placed on a table in front of a painting.,A-N,same,Hodně svíček je umístěno na stole před obrazem.,Hodně svíček je umístěno na stole před obrazem.
S122,Some of the Catholic School children are lined up in single file in front of the microphone.,U-I,same,Některé děti z katolické školy se řadí do fronty před mikrofonem.,Některé děti z katolické školy se řadí do fronty před mikrofonem.
S167,Adult carrying a child in full gear including skiis at the bottom of a ski slope.,A-I,same,Dospělý má dítě plně vybavené včetně lyží na úpatí lyžařské sjezdovky.,Muž má plně vybavené dítě včetně lyží na úpatí lyžařské sjezdovky.
S174,A man is reaching down for something in a box.,A-N,same,Muž se nahýbá pro něco do krabice.,Muž se pro něco nahýbá do krabice.
S113,Two men on surfboards catch a breaking wave.,A-C,same,Dva muži na surfech hledají vlnu.,Dva muži na surfech hledají vlnu.
S173,A woman on skis is looking back to the person behind her.,U-I,same,Žena na lyžích se ohlíží na osobu za sebou.,Žena na lyžích se ohlíží na osobu za sebou.
S175,Two men are racing horses down a racing track.,U-N,same,Dva muži závodí na koních na závodní dráze.,Dva muži závodí na koních na závodní dráze.
S170,There is a man sitting on a cement block.,U-N,same,Je tu muž sedící na betonovém bloku.,Je tu muž sedící na betonovém bloku.
