Sentence_ID,Original,Congruency,Choice,Translate,Update
S021,This is the second car in the train.,A-C,same,Tohle je dlouhý vagón vlaku.,<no translation recorded>
S186,Water passing under a bridge that cars are driving on top of.,A-C,same,"Tekoucí voda pod mostem, na kterém jezdí auta.","Tekoucí voda na mostě, na kterém jezdí auta."
S190,A young boy in the bed is reading a book to his little sibling.,U-N,same,Malý kluk čte v posteli knihu svému malému sourozenci.,Malý kluk čte knihu svému malému sourozenci.
S079,A man falls while trying to catch a wave surfing.,A-I,same,"Muž spadnul přitom, co se snažil naskočit na vlnu při surfování.","Muž spadnul potom, co se snažil naskočit na vlnu při surfování."
S035,A metal artwork displays a clock in the middle of a floor.,A-C,same,Železné umělecké dílo ukazuje hodiny uprostřed podlahy.,Železné umělecké dílo zobrazuje hodiny uprostřed pod-.
S033,A girl in a dress is leaning back on a cow wearing a straw hat.,A-N,same,Dívka v šatech se opírá a a má na sobě slaměný klobouk.,Dívka v šatech se opírá a má na sobě slaměný klobouk.
S185,Cars line up to coin meters on at a busy sidewalk.,U-N,same,Auta se řadí do fronty k platebnímu automatu na vytíženém chodníku.,Auta se daří u platebního automatu u vytíženého chodníku.
S037,Person airborne over a skateboard as the sun is setting.,A-I,same,Osoba na skateboardu při západu slunce.,Osoba na skateboardu při západu slunce.
S025,A group of police officers is standing in front of a parade.,A-N,same,Skupina policistů stojí v čele průvodu.,Skupina policistů stojí v čele.
S030,The traffic lights stand out a lot.,U-I,same,Semafory jsou velmi nápadné.,Semafory jsou velmi nápadné.
S024,There is a plate that has food sitting on a table.,U-I,same,Na stole je talíř s jídlem.,Na stole je talíř s jídlem.
S028,A couple of wood signs are pointing in different directions.,U-C,same,Několik dřevěných cedulí ukazuje různými směry.,Několik dřevěných cedulí ukazuje různými směry.
S038,A group of military people is running towards a school bus.,U-I,same,Skupina vojáků běží vstříc školnímu autobusu.,Skupina vojáků běží vstříc školnímu autobusu.
S187,A man leans back and gets ready to fall during part of the game.,U-C,same,Muž poodstoupí a připraví se na pád během hry.,Muž poodstoupí a připraví se na pád během hry.
S039,A surfer is catching a wave on the ocean.,A-N,same,Surfař najíždí na vlnu v oceánu.,Surfař najíždí na vlnu v oceánu.
S188,A small boy reaches up into the kitchen sink.,U-I,same,Malý chlapec se natahuje do kuchyňského dřezu.,Malý chlapec se natahuje do kuchyňského dřezu.
S041,A hand is holding a hotdog with ketchup mustard and onions wrapped in foil.,A-C,same,"Drží hotdog s kečupem, hořčicí, který je a cibulí, který je zabalen ve fólii.","Drží hotdog s kečupem, hořčicí a cibulí, který je zabalen ve fólii."
S040,A motorcycle racer on a track is leaning into a curve.,U-N,same,Motocyklový závodník najíždí do zatáčky.,Motocyklový závodník najíždí do zatáčky.
S023,A man in a colorful umbrella hat holds an orange.,A-I,same,Muž s barevným deštník barevnou kapucí drží pomeranč.,Muž s barevnou kapucí drží pomeranč.
S034,Some friends are hand shaking in the baseball stadium.,U-N,same,Přátelé si potřásají rukama na baseballovém stadionu.,Přátelé si potřásají rukama na baseballovém stadionu.
S183,A man is reading a book while another is holding a dog.,U-I,same,"Muž si čte knihu mezitím, co jiný drží psa.","Muž drží knihu, zatímco jiný drží psa."
S026,A woman is pointing a Wii remote right at the camera.,U-N,same,Žena míří Wii ovladačem přímo do kamery.,Žena míří Wii ovladačem přímo do kamery.
S036,Eight movers are helping someone move into their new home.,U-C,same,Osm stěhováků pomáhá někomu se nastěhovat do nového domu.,Osm stěhováků pomáhá se někomu nastěhovat do nového do-.
S022,This is some type of a fair.,U-C,same,To je nějaká pouť.,<no translation recorded>
S032,A person in her blue ski suit is racing two girls on skis.,U-X,same,Osoba v modré kombinéze závodí s dvěma děvčaty na lyžích.,Osoba v modré kombinéze závodí s dvěma děvčaty na lyžích.
S029,A jogging couple is resting on benches at the pier across the city view.,A-I,same,Pár běžců odpočívá na lavičkách s výhledem na město.,Pár běžců odpočívá na lavičkách s výhledem na město.
S027,There is a bar with neon lights behind the bottles.,A-C,changed,Za lahvemi je bar s neonovým nápisem.,"Je tu bar s s neonovými světly, za kterým jsou vidět lahve."
S184,There is a stand with information.,A-N,same,Je zde informační stojan.,Je zde informační stojan.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,same,Osoba v modré kombinéze závodí s dvěma děvčaty na lyžích.,Osoba v modré kombinéze závodí s dvěma děvčaty na lyžích.
S042,A picture of a recently married couple is displayed behind glass.,U-C,same,Za sklem je fotografie novomanželů.,Za sklem je fotografie novomanželů.
S182,There is a press box on the tennis court.,A-I,same,Na tenisovém kurtu je místo pro novináře.,Na tenisovém kurtu je místo pro novináře.
S189,Danny left the chair with a blue telescope.,A-N,same,Deny se zvedl z židle s moderním teleskopem.,Deny se zvedl z židle s moderním teleskopem.
