Sentence_ID,Original,Congruency,Choice,Translate,Update
S155,There are foreign characters on the vehicle s side.,A-C,same,Na boku vozidla jsou nějaká cizí písmena.,<no translation recorded>
S088,This is a red tie with Peanuts characters.,U-C,changed,To je červená kravata s postavami buráků.,To je červená kravata s postavičkami buráků.
S158,There are cars moving at a very fast speed.,U-I,same,Jsou tam velmi rychle jedoucí auta.,Jsou tam velmi rychle jedoucí auta.
S143,A television screen is displaying a cow in a wooded area.,A-C,same,Na televizní obrazovce je kráva v zalesněné oblasti.,Na televizní obrazovce je kráva v zalesněné oblasti.
S145,A man reaches with a racket to return a tennis ball.,A-I,same,"Muž natáhl raketu, aby vrátil tenisový míček.","Muž se natahuje s raketou, aby vrátil tenisový míček."
S154,A red metal frame forms the half pipe.,U-N,not indicated,Polovinu červený kovový rámeček tvoří polovinu potrubí.,Červený kovový rámeček tvoří poloviční trubku.
S152,There are balconies on the second storey of the buildings.,U-I,same,Ve druhém patře budov jsou balkóny.,Ve druhém patře budov jsou balkóny.
S085,Andrei looked at Danny picking up a green bag.,A-N,same,"Andrej se podívá na Denny, když zvedala zelenou tašku.","Andrej se podívá na Denny, když červenou zelenou tašku."
S089,A skier is passing two people on a snowmobile.,A-I,same,Lyžař předjíždí dva lidi na sněhovém skútru.,Lyžař předjíždí dva lidi na sněhovém skútru.
S157,A man is climbing an elephant with a saddle attached.,A-I,same,Muž leze do sedla připevněném na slonovi.,Muž leze do sedla připevněném na slonovi.
S087,There is a food truck serving calamari sandwiched between other food trucks.,A-C,changed,"Mezi ostatními náklaďáky s jídlem je náklaďák, který dodává kalamáry.","Mezi ostatními náklaďáky je náklaďák, kde se prodávají kalamáry."
S147,There is a beer resting on the seat of a motorcycle.,A-N,same,Na sedačce motocyklu leží pivo.,Na sedačce motocyklu leží pivo.
S151,Several people are sitting around a table in a small room with a laptop books and papers.,A-I,same,"Kolem stolu v malé místnosti sedí několik lidí s laptopem, knihami a papíry.","V malé místnosti kolem stolu sedí několik lidí s laptopem, knihami a papíry."
S086,A man is turning his back on his own reflection in a mirror.,U-N,same,Muž se odráží zády ke svému odrazu v zrcadle.,Muž se odráží zády ke svému odrazu v zrcadle.
S032,A person in her blue ski suit is racing two girls on skis.,U-X,changed,Žena v modré lyžařské kombinéze závodí s dvěmi děvčaty na lyžích.,Žena ve fialové kombinéze závodí s dvěma děvčaty na lyžích.
S160,A baby elephant is reaching for grey bag at a zoo.,U-N,not indicated,Slůně se natahuje po zeleném pytli v Zoo.,Slůně v Zoo se natahuje po šedém pytli.
S031,A person in a blue ski suit is racing two girls on skis.,A-X,not indicated,Člověk v modré lyžařské kombinéze závodí na lyžích s dvěma děvčaty.,<no translation recorded>
S092,The little girl is reaching for a piece of cake.,U-N,same,Holčička se natahuje po kousku koláče.,Holčička se natahuje po kousku dortu.
S083,A man is swinging at a baseball with an umpire behind him.,A-I,same,Muž se rozmachuje při baseballu a za ním je Lookrozhodčí.,Muž se rozmachuje při baseballu a za ním je rozhodčí.
S161,There are two leather sofas sitting on each side of an entertainment center.,A-C,same,V zábavním centru jsou na každé straně dvě kožené pohovky.,V zábavním centru jsou na každé straně místnosti dvě pohovky.
S148,Two men are snow skiing and one has fallen down.,U-N,not indicated,Na sněhu lyžují dva muži a jeden upadl.,Na sněhu lyžují dva muži a jeden upadl.
S146,Several people are pushing a truck from the dirt onto the road.,U-I,same,Několik lidí tlačí náklaďák z bahna na cestu.,Několik lidí tlačí náklaďák z bahna na cestu.
S150,A person lights a candle that is on a piece of cake.,U-C,changed,"Někdo zapálil svíčku, která je na kousku dortu.","Někdo zapaluje svíčku, která je na kousku dortu."
S084,Many motorcycles are lined up to be displayed.,U-I,not indicated,"Je tam seřazených mnoho motocyklů, aby je bylo vidět.","Je tam seřazeno mnoho motocyklů, aby je bylo vidět."
S156,A crowd of people stands and watches as guy on a horseback leads a bunch of horses behind him.,U-C,not indicated,"Zástup lidí stojí a sleduje muže, který sedí na koni a vede skupinu koňů za sebou.","Zástup lidí stojí a přihlíží, jak člověk v sedle vede za sebou skupinu koňů."
S162,People in hats are riding on a large elephant.,U-C,not indicated,Lidé v kloboucích jedou na velkém slonovi.,Lidé v kloboucích jedou na velkém slonovi.
S153,Two people are walking along the water with umbrellas.,A-N,same,Podél vody jdou dva lidé s deštníky.,Podél vody jdou dva lidé s deštníky.
S091,A smiling man sits on a scooter with a little girl.,A-N,not indicated,Usmívající se muž sedí na skútru za malou holčičkou.,Usmívající se muž sedí na skútru s malou holčičkou.
S149,A woman with a dog is talking to two people sitting on a bench.,A-C,same,"Žena se psem mluví se dvěma lidmi, kteří sedí na lavičce.",Žena se psem mluví se dvěma lidmi sedícími na lavičce.
S090,This is a black bike seat with silver springs.,U-I,not indicated,Tohle je černé sedátko na kolo se stříbrnými proužky.,Tohle je černé sedátko na kolo se stříbrnými proužky.
S144,This is a fryer that moves donuts down the fryer.,U-C,not indicated,"Tohle je smažič donatů, který je vkládá do friťáku.","Tohle je smažič donatů, který je vkládá dolů do friťáku."
S159,A red train is passing over the water on a bridge.,A-N,not indicated,Červený vlak projíždí po mostě nad vodou.,Červený vlak projíždí po mostě nad vodou.
